image_id,bbox
T10_0.jpg,"[19, 0.54638671875, 0.56298828125, 0.6826171875, 0.7158203125]"
T10_1.jpg,"[19, 0.50732421875, 0.57763671875, 0.6982421875, 0.7294921875]"
T10_2.jpg,"[19, 0.431640625, 0.52978515625, 0.86328125, 0.9248046875]"
T10_3.jpg,"[19, 0.51513671875, 0.57666015625, 0.5654296875, 0.6181640625]"
T10_4.jpg,"[19, 0.48193359375, 0.576171875, 0.7333984375, 0.755859375]"
T10_5.jpg,"[19, 0.52783203125, 0.57275390625, 0.5634765625, 0.6162109375]"
T10_6.jpg,"[19, 0.52197265625, 0.57470703125, 0.5185546875, 0.5751953125]"
T10_7.jpg,"[19, 0.52197265625, 0.57470703125, 0.5185546875, 0.5751953125]"
T10_8.jpg,"[19, 0.66845703125, 0.50244140625, 0.6630859375, 0.8291015625]"
T10_9.jpg,"[19, 0.50439453125, 0.578125, 0.6337890625, 0.677734375]"
T10_10.jpg,"[19, 0.51025390625, 0.59423828125, 0.6123046875, 0.6689453125]"
T10_11.jpg,"[19, 0.33837890625, 0.6708984375, 0.6728515625, 0.658203125]"
T10_12.jpg,"[19, 0.59423828125, 0.60791015625, 0.7001953125, 0.7470703125]"
T10_13.jpg,"[19, 0.52880859375, 0.57275390625, 0.5673828125, 0.6201171875]"
T10_14.jpg,"[19, 0.5205078125, 0.5751953125, 0.529296875, 0.5859375]"
T10_15.jpg,"[19, 0.5546875, 0.5556640625, 0.7265625, 0.75]"
T10_16.jpg,"[19, 0.6083984375, 0.5224609375, 0.783203125, 0.814453125]"
T10_17.jpg,"[19, 0.47705078125, 0.57470703125, 0.5185546875, 0.5751953125]"
T10_18.jpg,"[19, 0.474609375, 0.57275390625, 0.6640625, 0.7119140625]"
T10_19.jpg,"[19, 0.482421875, 0.43408203125, 0.921875, 0.8681640625]"
T10_20.jpg,"[19, 0.49072265625, 0.57763671875, 0.6103515625, 0.6572265625]"
T10_21.jpg,"[19, 0.390625, 0.6240234375, 0.78125, 0.751953125]"
T10_22.jpg,"[19, 0.5244140625, 0.57421875, 0.537109375, 0.591796875]"
T10_23.jpg,"[19, 0.49853515625, 0.57861328125, 0.6669921875, 0.7041015625]"
T10_24.jpg,"[19, 0.47607421875, 0.57470703125, 0.5263671875, 0.5830078125]"
T16_0.jpg,"[19, 0.396484375, 0.7705078125, 0.79296875, 0.458984375]"
